Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.280000,0.320000,0.280000,0.315000,0.306770,43071729
2020-01-08,0.310000,0.395000,0.295000,0.390000,0.379810,86450676
2020-01-15,0.405000,0.410000,0.345000,0.365000,0.355463,108115284
2020-01-22,0.365000,0.382000,0.325000,0.335000,0.326247,51682412
2020-01-29,0.335000,0.340000,0.275000,0.310000,0.301900,77128231
2020-02-05,0.340000,0.355000,0.310000,0.320000,0.311639,77876890
2020-02-12,0.320000,0.330000,0.270152,0.279468,0.272166,53077250
2020-02-19,0.279468,0.298099,0.246863,0.265495,0.258558,74169216
2020-02-26,0.256179,0.262700,0.211464,0.232890,0.226805,82210920
2020-03-04,0.228232,0.246863,0.167681,0.214259,0.208661,75440854
2020-03-11,0.214259,0.214259,0.130418,0.172338,0.167835,136193790
2020-03-18,0.176996,0.176996,0.125760,0.135076,0.131547,111961451
2020-03-25,0.158365,0.167681,0.139734,0.158365,0.154227,71766858
2020-04-01,0.158365,0.246863,0.158365,0.214259,0.208661,107347929
2020-04-08,0.218917,0.232890,0.209601,0.218917,0.213197,28904069
2020-04-15,0.223574,0.223574,0.183517,0.190970,0.185980,47956629
2020-04-22,0.181654,0.200285,0.172338,0.190970,0.185980,40884942
2020-04-29,0.190970,0.209601,0.186312,0.190970,0.185980,48779359
2020-05-06,0.195627,0.209601,0.186312,0.195627,0.190516,43447873
2020-05-13,0.195627,0.237548,0.195627,0.223574,0.217732,76140506
2020-05-20,0.223574,0.260837,0.218917,0.242206,0.235878,63864440
2020-05-27,0.242206,0.256179,0.237548,0.242206,0.235878,49206103
2020-06-03,0.246863,0.367966,0.242206,0.344677,0.335671,145907224
2020-06-10,0.335362,0.349335,0.246863,0.260837,0.254022,153567735
2020-06-17,0.270152,0.274810,0.237548,0.246863,0.240413,132547126
2020-06-24,0.251521,0.256179,0.232890,0.232890,0.226805,50609389
2020-07-01,0.232890,0.298099,0.232890,0.284126,0.276702,59163061
2020-07-08,0.279468,0.298099,0.270152,0.270152,0.263093,59659403
2020-07-15,0.279468,0.344677,0.274810,0.335362,0.326600,70218150
2020-07-22,0.340020,0.358651,0.316731,0.340020,0.331136,57303074
2020-07-29,0.344677,0.358651,0.321388,0.353993,0.344744,59661296
2020-08-05,0.358651,0.400571,0.344677,0.358651,0.349280,95339948
2020-08-12,0.358651,0.358651,0.321388,0.326046,0.317527,78329623
2020-08-19,0.326046,0.340020,0.307415,0.326046,0.317527,45566492
2020-08-26,0.326046,0.335362,0.307415,0.316731,0.308455,41907529
2020-09-02,0.321388,0.344677,0.312073,0.321388,0.312991,52287716
2020-09-09,0.316731,0.330704,0.307415,0.316731,0.308455,31516113
2020-09-16,0.326046,0.367966,0.321388,0.344677,0.335671,75222761
2020-09-23,0.349335,0.349335,0.288784,0.293441,0.285774,82053869
2020-09-30,0.298099,0.340020,0.293441,0.335362,0.326600,65520962
2020-10-07,0.335362,0.358651,0.323251,0.330704,0.322063,50059036
2020-10-14,0.330704,0.367966,0.330704,0.353993,0.344744,41850210
2020-10-21,0.353993,0.409887,0.353993,0.363309,0.353816,81396152
2020-10-28,0.363309,0.426189,0.349335,0.386598,0.376497,66163755
2020-11-04,0.381940,0.475096,0.381940,0.456465,0.444538,95239578
2020-11-11,0.456465,0.563594,0.456465,0.563594,0.548868,83027770
2020-11-18,0.554279,0.689355,0.530990,0.661408,0.644127,156654694
2020-11-25,0.670724,0.701000,0.624146,0.698671,0.680416,105902442
2020-12-02,0.703329,0.824432,0.663737,0.796485,0.775674,99702481
2020-12-09,0.819774,0.831418,0.768538,0.815116,0.793818,55038935
2020-12-16,0.765000,0.930000,0.695000,0.850000,0.827791,179414113
2020-12-23,0.860000,0.910000,0.835000,0.895000,0.871615,49783206
2020-12-30,0.895000,0.920000,0.870000,0.870000,0.847268,28458830
